month,festival,weekend,salary_day,local_event,visitors,sales
1,1,1,1,0,200,60000
2,0,1,0,0,150,30000
3,0,0,1,1,180,50000
4,0,1,1,0,170,48000
5,0,0,0,0,90,22000
6,1,1,1,1,300,75000
7,0,1,0,0,250,60000
8,0,0,0,0,110,25000
9,1,1,1,1,350,82000
10,1,0,1,0,140,40000
11,0,1,0,0,130,31000
12,1,1,1,1,310,85000
1,1,0,1,0,210,58000
2,0,1,0,0,160,32000
3,0,0,1,1,190,52000
4,0,1,1,0,175,49000
5,0,0,0,0,95,23000
6,1,1,1,1,305,76000
7,0,1,0,0,255,61000
8,0,0,0,0,115,26000
9,1,1,1,1,360,84000
10,1,0,1,0,145,41000
11,0,1,0,0,135,32000
12,1,1,1,1,320,87000
1,1,1,1,0,220,62000
2,0,1,0,0,155,31000
3,0,0,1,1,200,54000
4,0,1,1,0,180,50000
5,0,0,0,0,100,24000
6,1,1,1,1,310,77000
7,0,1,0,0,260,62000
8,0,0,0,0,120,27000
9,1,1,1,1,370,86000
10,1,0,1,0,150,42000
11,0,1,0,0,140,33000
12,1,1,1,1,330,88000
1,1,0,1,0,215,60000
2,0,1,0,0,165,33000
3,0,0,1,1,210,55000
4,0,1,1,0,185,51000
5,0,0,0,0,105,25000
6,1,1,1,1,315,78000
7,0,1,0,0,265,63000
8,0,0,0,0,125,28000
9,1,1,1,1,380,88000
10,1,0,1,0,155,43000
11,0,1,0,0,145,34000
12,1,1,1,1,340,90000
1,1,1,1,0,230,64000
2,0,1,0,0,170,34000
3,0,0,1,1,220,57000
4,0,1,1,0,190,52000
5,0,0,0,0,110,26000
6,1,1,1,1,320,79000
7,0,1,0,0,270,64000
8,0,0,0,0,130,29000
9,1,1,1,1,390,90000
10,1,0,1,0,160,44000
11,0,1,0,0,150,35000
12,1,1,1,1,350,92000
1,1,0,1,0,235,65000
2,0,1,0,0,175,35000
3,0,0,1,1,225,58000
4,0,1,1,0,195,53000
5,0,0,0,0,115,27000
6,1,1,1,1,325,80000
7,0,1,0,0,275,65000
8,0,0,0,0,135,30000
9,1,1,1,1,400,92000
10,1,0,1,0,165,45000
11,0,1,0,0,155,36000
12,1,1,1,1,360,94000
1,1,1,1,0,240,66000
2,0,1,0,0,180,36000
3,0,0,1,1,230,60000
4,0,1,1,0,200,54000
5,0,0,0,0,120,28000
6,1,1,1,1,330,82000
7,0,1,0,0,280,66000
8,0,0,0,0,140,31000
9,1,1,1,1,410,94000
10,1,0,1,0,170,46000
11,0,1,0,0,160,37000
12,1,1,1,1,370,96000
